source,price,beds,baths,sqft,neighborhood,days_ago,is_stale,link,title,image_url,image_urls,region,fair_value,pct_under,score,freshness_boost,final_score,rank
Kijiji,1425,0,0.0,365.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-eglinton-and-bayview-id-3082/1740332608,"renovated bachelor, eglinton and bayview - ID 3082",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c2/c2e7d44a-4136-42ff-8bdb-c741e1a3df6e?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/c2/c2e7d44a-4136-42ff-8bdb-c741e1a3df6e?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/6b/6bef278e-0ee9-4170-a055-2508907bbbeb?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/06/0649336d-82f8-47a0-b454-a0d5c4f6dd3b?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/87/87faf59a-8810-4af4-8d81-5cf29c7dc9a8?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f9/f947ef4e-09d1-4349-9974-ad3ddcc36e14?rule=kijijica-200-jpg']",Scarborough,1700.5263157894738,16.202414113277626,0.21810942075566034,0.15,0.36810942075566033,39.0
Craigslist,2500,1,0.0,,Eglinton East,5,False,https://www.craigslist.org/view/d/bolton-bedroom-bathroom-rivers-edge/jzGcjaE2aMMZC9fBzBFpHX,"1 Bedroom, 2 Bathroom - River's Edge Luxury Condos",,[],Scarborough,2950.0,15.254237288135593,0.20534550195567144,0.15,0.35534550195567144,40.0
Craigslist,1850,1,0.0,,Toronto,5,False,https://www.craigslist.org/view/d/concord-950-portage-pkwy-bedden-1bath/xgcRv4TCLpnuScLQiqqwTa,"950 PORTAGE PKWY #609 - 1BED+DEN/1BATH, BALCONY, LAUNDRY",,[],Downtown,2180.769230769231,15.167548500881841,0.20417853751187093,0.15,0.3541785375118709,41.0
Kijiji,2250,2,0.0,860.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/semi-renovated-two-bedroom-glencairn-marlee-avenue-id-656/1740332635,"Semi-Renovated two bedroom, Glencairn & Marlee Avenue - ID 656",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/61/61a1bbc7-8243-4c4c-8df5-fc5e329faec7?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/61/61a1bbc7-8243-4c4c-8df5-fc5e329faec7?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/38/381a51f3-d50d-4e9b-b4ab-b7d3c13fff6f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/77/77e48fa0-7865-48b4-9fd0-60f2b8b5fa77?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e2/e29d2b3e-4a6f-48ef-8643-0b2f954e13cd?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/8e/8e3397ed-7ad3-4f21-a27f-7292f58b5992?rule=kijijica-200-jpg']",Scarborough,2650.95,15.124766593108124,0.20360262721491704,0.15,0.35360262721491703,42.0
Kijiji,1600,1,0.0,800.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apartment-for-rent/1740125449,Basement Apartment For Rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1e/1e6615a4-7d95-42fb-9616-a89423d13a1b?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1e/1e6615a4-7d95-42fb-9616-a89423d13a1b?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/47/47e4b11f-199b-492d-88b2-fe9fc4a35313?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2a/2abb8950-efd0-4380-9abf-20c63cf0d74f?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/48/48ad2183-bb44-4442-8863-7fd381e5f03f?rule=kijijica-200-jpg']",Scarborough,1876.7826086956522,14.74771811147663,0.19852697457757,0.15,0.34852697457757,43.0
Craigslist,1900,2,0.0,,Old East York,5,False,https://www.craigslist.org/view/d/east-toronto-79-oconnor-dr-lower-2bed/9KJ6UqtKkxb9WD7h277J22,"79 O'CONNOR DR. LOWER - 2BED/1BATH, **UTLS INCLUDED**",,[],East End,2225.0,14.606741573033707,0.19662921348314605,0.15,0.346629213483146,44.0
Craigslist,1800,0,0.0,,mississauga,5,False,https://www.craigslist.org/view/d/mississauga-furnished-br-basement-unit/bNXegrhnoShbxWdfNVrZNz,Furnished 1-BR Basement Unit for rent in Mississauga,,[],,2095.0,14.081145584725538,0.1895538828713053,0.15,0.3395538828713053,45.0
Kijiji,1700,1,0.0,300.0,Lansing-Westgate,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/looking-for-an-apartment-for-rent/1740207760,looking for an apartment for rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b6/b6ce9a4d-231c-4eec-848f-aae7b305705c?rule=kijijica-200-jpg,['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/b6/b6ce9a4d-231c-4eec-848f-aae7b305705c?rule=kijijica-200-jpg'],Downtown,1966.6666666666667,13.559322033898308,0.182529335071708,0.15,0.332529335071708,46.0
Craigslist,1600,1,0.0,,durham region,5,False,https://www.craigslist.org/view/d/oshawa-fully-renovated-bedroom-unit/2Uug91EbQvwjvRqB8ptXtD,Fully Renovated 1 Bedroom Unit Close to Everything! - Oshawa,,[],Scarborough,1850.0,13.513513513513514,0.1819126819126819,0.15,0.33191268191268186,47.0
Kijiji,2300,2,0.0,900.0,Agincourt North,5,False,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apartment-for-rent/1740167538,apartment for rent,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e0/e078daf9-faa3-4c65-b32a-381089afd967?rule=kijijica-200-jpg,"['https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e0/e078daf9-faa3-4c65-b32a-381089afd967?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f1/f1c12305-8313-47a5-8320-7b32dda618fa?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2e/2e4cd01f-182e-4369-be96-ca06affd63c7?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/71/71a57b64-464e-4ddb-9648-fcdcdf2b96f9?rule=kijijica-200-jpg', 'https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/5b/5b5fc5d5-b0d0-4920-8158-ac4fb33f5bc1?rule=kijijica-200-jpg']",Scarborough,2650.95,13.238650295177196,0.17821260012738532,0.15,0.3282126001273853,48.0
